Category,Resume
Blockchain Developer,"Python, Cryptography, C"
Blockchain Developer,"C, C#, Cryptography, Java, Distributed Systems, Data Structures, JavaScript, Golang, Smart Contracts, ADA, DSA, Python"
Blockchain Developer,"Python, C, JavaScript, ADA, Distributed Systems, Java"
Information security,Operating systems
Information security,"Scripting, DevOps, Operating systems, Python or PowerShell, Cloud, OS"
Information security,"DevOps, OS, Python or PowerShell, Cloud, Scripting"
Information security,"Cloud, Python or PowerShell, OS, Scripting, Operating systems"
Information security,"Python or PowerShell, Operating systems, OS, Cloud"
Information security,"OS, DevOps, Cloud"
Information security,"Scripting, Operating systems"
Information security,"DevOps, Cloud"
Information security,"Python or PowerShell, Cloud, Operating systems, DevOps, OS, Scripting"
Information security,"Python or PowerShell, Cloud, OS, Operating systems, Scripting, DevOps"
Network security,operating systems
Network security,"javascript,php,sql,iot,cloud computing,networks,firewall"
Network security,"operating systems, javascript,php,sql,iot,cloud computing,networks,firewall, coding,c,/c++/java/python"
Network security,"operating systems, coding,c,/c++/java/python"
Network security,"operating systems, coding,c,/c++/java/python"
Network security,"coding,c,/c++/java/python"
Network security,"javascript,php,sql,iot,cloud computing,networks,firewall, coding,c,/c++/java/python"
Network security,"coding,c,/c++/java/python, operating systems, javascript,php,sql,iot,cloud computing,networks,firewall"
Network security,"coding,c,/c++/java/python, javascript,php,sql,iot,cloud computing,networks,firewall, operating systems"
Network security,"javascript,php,sql,iot,cloud computing,networks,firewall, operating systems"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Ethical Hacker,"operating systems,computer hardware,troubleshooting,c++/python/java/php ,database,computer network,cryptography"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Cloud developer,"aws,microsoft azure,gcp,programing languages - c/c++/java/python/javascript,api,database,cloud services"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Database Engineer,"coding,c,c++,python,java,sql,operating systems,database,oracle,mongodb,dbms"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
Network engineer,"problem solving,cloud network,analytics,troubleshooting,networks"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
DevOps Engineer,"linux,python,java,ruby,perl,mysql,mongo,troubleshooting,cloud services,agile principles,aws,microsoft azure,github,unix"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
SAP developers,"problem solving,abap development,experience in sap solutions,neptune"
